,질문,상세질문,답변개수,답변
73,개인간 부동산거래 매도자 세금신고,"개인간 부동산 거래 예정인 매도자 입니다.매도시 세금 신고는 양도소득세,종합소득세,농어촌특별세 3가지만 내면 되는 걸까요??세금신고는 어디에서 하면 될까요",2,"['양도소득세 신고만 하면 됩니다.\n감면을 받은 경우 농특세도 신고할 수도 있습니다.\n세무서, 세무사 등에서 할 수 있습니다.', '안녕하세요..\n부동산을 매도한 후에 양도소득세가 감면되는 경우에만 농어촌특별세가 과세되고,\n그렇지 아니한 경우에 부과될 세목은 국세로서 양도소득세가 과세되고,  그리고 지방세로서 지방소득세가 양도소득세의 10%가 함께 부과됩니다.\n아울러 부동산을 양도하는 경우에  종합부동산세는 과세되지 아니합니다.']"
74,부동산임대차분쟁 법적 해결 방법 질문드립니다,부동산임대차분쟁 법적 해결 방법 질문드립니다.전세를 내준 부동산이 현재 재개발이 진행되면서 임차인에게 퇴거통보를 한 상황인데요. 하지만 계속해서 점유를 유지하고 있어서철거작업이 중단된 상황입니다.. 이런 경우에 법적으로 해결할 수있는 방법이 있을까요? 부동산임대차분쟁 관련하여 이야기를나눠볼 수 있는 대전지역 법무법인도 추천 부탁드립니다.,1,"['안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 권진원 변호사입니다.\n질문주신 사안에 대해서는 명도소송을 통하여 해당 부동산을 인도하도록 진행하실 수 있으실 것 같습니다. 현 질문주신 사안에 대해서는 더욱 자세한 이야기를 나눠보셔야 하겠지만, 소송이 원활히 진행될 수 있도록 임차인에 대해 점유이전금지가처분을 경유하시는 것이 권장됩니다. \n이는 소가 진행되는 동안 점유이전을 막아, 승소 후에 강제집행이 원활하게 이어질 수 있는 제도이기도 한데요. 질문주신 부동산임대차분쟁과 관련하여 더욱 자세한 이야기를 나누고자 하신다면 아래 링크를 확인해 주시기 바랍니다.\n ★법무법인 테헤란 대전지사★ ', '민사변호사 선택기준, 궁극적인 목적은?\n안녕하세요. 양진하 변호사입니다. 개인 간의 갈등이 심화하면 민사 분쟁으로 발전하게 됩니다. 즉, 누구든...\nblog.naver.com', '']"
75,중개 안한 부동산중개 수수료 대서료 질문 광고사절,안녕하세요 최근에 1만평 규모의 토지 40억원 거래를 하였는데 부동산 중개 수수료 관련하여 질문드립니다.토지 매매를 할 때 매도인인 제가 제 토지를 구매할 매수인이 저의 지인이라 알고 있어서 직접 다이렉트로 거래를 하려고 했으나 부동산 계약서는 작성을 해야할 것 같아서 친구의 친구에게 부탁하여 부동산 중개 수수료는 받지 않기로 약속하고 서류 작성 밑 작업 비용으로 대서료와 수고비를 주기로 하고 제가 제 토지를 사고자 하는 매수인을 데리고 친구의 부동산 중개 사무소에 방문하여 계약서 등 서류를 작성했습니다.그리고 계약금 중도금 잔금을 계약서에 명시하고 보통의 부동산 거래를 진행 하였습니다.그런데 알고보니 이 친구의 친구인 부동산중개업자가 따로 뒤에서 제가 데려온 매수자에게 법정 부동산 중개 수수료를 요구를 했더군요. 처음에는 중개수수료 없이 서류작업만 도움주고 조금 사례비 주기로 합의를 하여놓고서는 말이죠. 이 부분이 통화녹음 등 증거가 있는지 확인여부중입니다.그런데 거래가 끝나고 나니 욕심이 나는지 저한테도 요구를 해오기 시작했습니다. 소송으로 정식으로 청구한다고 하면서요.그런데 제가 제 토지를 그 부동산 중개인에게 물건을 내놓고 부동산중개인이 중개를 하고 매수자를 구해왔으면 당연히 법정 부동산 중개수수료를 지급해야하는게 마땅하고 당연하다고 생각합니다.그러나 토지를 매수할 부동산 매수인을 구해온것도 매도인인 저고 그 부동산중개사무소는 제 토지 매물을 광고한적도 내놓은적도 없습니다.. 이미 사전에 서류작성비용등 일부 사례를 하기로 구두로 합의도 했었구요 증인도 여럿 있습니다.그래서 계약서에는 부동산 중개 수수료에 대한 어떠한 내용도 명시되어 있지 않구요.그런데 거래가 다 끝나고 이제와서는 저한테 부동산 중개수수료를 요구합니다. 주지 않으면 법정으로 소송을 걸겠다고 하네요.. 이거 참 오히려 돈 받게 해주고 되려 뺨맡는 격 뒤통수를 맞았습니다.이러한 경우가 있나요?이러한 사례에는 관례까 어떠한가요?그리고 소송을 부동산업자쪽에서 건다면 이게 소송가서 재판이 가능한건가요?이런 사례 판례가 있는지 궁금합니다.그리고 저는 어떻게 해야하는게 맞나요?,2,['안녕하세요? 네이버 EXPERT 이광표 법무사입니다.\n먼지 확인할 게 있습니다. \n매매계약서에 부동산 중개사 명판이 들어갔나요? 아니면 쌍방 합의로 계약을 하신건가요?\n보통 쌍방 합의로 계약서를 작성하시면 대서료 10만 원 정로를 주는 관행이 있기는 합니다.\n하지만 부동산중개사무실 명판이 들어갔다면 어느 정도의 수수료는 주셔야 합니다.\n그런데 정식 수수료가 아닌 일정한 수고비를 주신다고 하셨는데요.. \n수고비를 얼마를 생각하시는 건가요?']
76,디스코 부동산지도,디스코 부동산지도 보면...위에 뜨는 숫자가....매매 년도와 매매 가격인가요?좀 많이 싼 듯 보여서요...실제 매매가격이 맞나요?,2,"['네, 디스코 부동산지도를 보면 위에 뜨는 숫자는 매매 년도와 매매 가격을 나타냅니다. 가격이 좀 싸 보일 수 있지만, 실제 매매가격과는 조금 차이가 있을 수 있어요. 부동산 시장은 항상 변화하기 때문에 정확한 정보를 확인해보시는 것이 좋아요. 그래도 가격이 저렴하게 나타나는 경우도 있으니 참고하시면 좋을 거예요. 부동산을 구매하실 때는 신중한 결정을 내리셔야 해요. 함께 어렵지 않게 알아보시고 결정하시길 바래요.화이팅!', '디스코 부동산지도\n디스코 부동산지도 보면...\n위에 뜨는 숫자가....매매 년도와 매매 가격인가요?\n좀 많이 싼 듯 보여서요...실제 매매가격이 맞나요?\n질문해주셔서 답변드려봅니다\n매매가격은 실제와 다를 수 있음.']"
77,임차권등기명령 시 재계약서 부동산 날인이 안된 경우,"5일뒤 임차권등기명령을 신청하려합니다.2년 전세살았고, 1년연장 후 허그가입했습니다.1년연장 시 부동산에서 집주인.저희.부동산 중개업자와 함께 재계약서를 작성했습니다. 근데 재계약서에는 부동산 날인이 되어 있지 않습니다.최초계약서와 연장계약서(미날인된)를 제출하려는데임차권등기명령이 안될 수도 있나요??",2,"['임차권등기명령 시 재계약서 부동산 날인이 안된 경우\n5일뒤 임차권등기명령을 신청하려합니다.\n2년 전세살았고, 1년연장 후 허그가입했습니다.\n1년연장 시 부동산에서 집주인.저희.부동산 중개업자와 함께 재계약서를 작성했습니다. 근데 재계약서에는 부동산 날인이 되어 있지 않습니다.\n최초계약서와 연장계약서(미날인된)를 제출하려는데\n임차권등기명령이 안될 수도 있나요??\n질문해주셔서 답변드려봅니다\n부동산 날인 필요함', '네, 재계약서에 부동산 날인이 되어 있지 않아도 임차권등기명령을 신청할 수 있어요. 하지만 정확한 절차와 문서를 준비하는 것이 중요해요. 이전에도 재계약서를 작성했다면 그 문서도 함께 제출하면 좋겠죠. 부동산 중개업자와 함께 상세히 상의하여 문제없이 처리할 수 있을 거예요. 힘내세요! 함께 해결할 수 있을 거에요.']"
78,부동산 처분금지 가처분 등기,옛날에 토지를 뺏긴 적이 있어 소송 진행 하여 패소한적이 있습니다십수년이 지난 사건인데 오늘 뜬금없이 등기가 하나 날아와서 뭔 내용인가 싶어 작성합니다ㅠㅠ사벙변경에 의한 가처분결정취소 신청서 라는 큰 타이틀에부동산가처분금지가처분 적혀있고 그아래로신청인 ( 채무자 ) - 이쪽이 토지 뺏어간사람000000000피신청인 ( 채권자 ) - 이쪽이 저희 입니다000000000라고 적혀있는 20장이 넘는 서류인데 이 서류가 무엇을 뜻하고 왜 온건지 궁금합니다,1,['안녕하세요. 로시컴-네이버 지식iN 상담변호사 이현웅 입니다.\n예전에 패소한 소송을 제기할 때 부동산에 대해 처분금지가처분결정을 받아 이를 등기하였는데 상대방이 소송이기고도 풀지 않고 있다가 이번에 풀겠다고 신청한 것입니다.']
79,전세금 받아야되는데 집주인이 타부동산에 매매한다고합니다,2023년 12월에 전세방 빼기로 말씀을 집주인분께 말씀드렷고 그동안 부동산에 전세방을 내놧는데 방보러오는사람도 없고 일단 전세금 구해보겠다고 답변을 받았는데 2월이 된 지금 아직 방이 나가지 않은 상태라 전세금을 못돌려받고있습니다1억6천만원 전세금을 받아야하는데 2월말중으로 집주인분께서 전세방이 나가질않아서 타부동산에 매매 하려고 이야기중이라고 합니다 . 이런경우 전세금을 온전히 돌려받을수 있나요? 2월말까지 방이 안나가면 다른방법으로 전세금 구해보겠다고 말씀하셧습니다 . 매매로 팔리면 전세금 상환 받을수 잇나요? 온전히,1,['전세금 받아야되는데 집주인이 타부동산에 매매한다고합니다\n2023년 12월에 전세방 빼기로 말씀을 집주인분께 말씀드렷고 그동안 부동산에 전세방을 내놧는데 방보러오는사람도 없고 일단 전세금 구해보겠다고 답변을 받았는데 2월이 된 지금 아직 방이 나가지 않은 상태라 전세금을 못돌려받고있습니다\n1억6천만원 전세금을 받아야하는데 2월말중으로 집주인분께서 전세방이 나가질않아서 타부동산에 매매 하려고 이야기중이라고 합니다 . 이런경우 전세금을 온전히 돌려받을수 있나요? 2월말까지 방이 안나가면 다른방법으로 전세금 구해보겠다고 말씀하셧습니다 . 매매로 팔리면 전세금 상환 받을수 잇나요? 온전히\n질문해주셔서 답변드려봅니다\n전세금 환불 가능성은 낮음.']
80,부동산 중개수수료 질문,안녕하세요가게를 최근에 내놓았는데요.내놓고나서 부동산쪽에서 연락이 많이오고있는데궁금한점이 있어서 문의드립니다.보증금5000권리금8000에 내놓았는데요이정도면 수수료가 얼마정도 나오는게 평균인가요?,2,"['안녕하세요! 가게를 최근에 내놓으셨다니, 축하드립니다!\n일반적으로 부동산 중개수수료는 보증금과 월세의 비율로 계산되는 경우가 많아요. 예를 들어, 보증금과 월세의 합계의 50% 정도가 중개수수료로 요구되는 경우가 많습니다.\n보증금 5000권과 월세 8000권으로 계산해보면, 총 합계는 13000권이에요. 그러면 중개수수료는 약 6500권 정도가 될 것 같아요.\n하지만 중개수수료는 상황에 따라 다르게 적용되기도 하고, 부동산마다 차이가 있을 수도 있어요. 그러니까 정확한 수수료는 부동산에 문의해보시는 것이 가장 좋을 것 같아요.\n가게를 내놓으셨다니, 많은 관심과 문의가 있는 것 같아서 좋네요! 원하시는 답변이 도움이 되었는지요? 더 궁금한 점이 있으시면 언제든지 물어보세요! 힘든 부동산 거래가 부드럽고 행운차게 진행되길 바라요! 화이팅하세요!', '부동산 중개수수료 질문\n안녕하세요\n가게를 최근에 내놓았는데요.\n내놓고나서 부동산쪽에서 연락이 많이오고있는데\n궁금한점이 있어서 문의드립니다.\n보증금5000\n권리금8000에 내놓았는데요\n이정도면 수수료가 얼마정도 나오는게 평균인가요?\n질문해주셔서 답변드려봅니다\n약 500~800 정도 예상됩니다.']"
81,로블록스 제빵사의 계곡 게임에 부동산 어디있나요?,제가 제빵사의계곡게임에서 케이크를만들고 돈이쌓였는데 돈으로할게 집?사는것밖에없는것같은데 부동산에가서 청구하라고떠서.. 부동산이어디에있나요? 내공80,1,['로블록스 제빵사의 계곡 게임에 부동산 어디있나요?\n제가 제빵사의계곡게임에서 케이크를만들고 돈이쌓였는데 돈으로할게 집?사는것밖에없는것같은데 부동산에가서 청구하라고떠서.. 부동산이어디에있나요? 내공80\n질문해주셔서 답변드려봅니다\n맵 중앙에 있음']
82,상속 부동산 취득세 관련 질문합니다.,안녕하세요 부동산으로 토지와 주택을 상속받게 되었습니다. 자녀가 세 명이고 각각 취득하게 된 상속 부도산이 다른데요. 재산분할협의서도 썼구요. 한 명이 대표로 취득세 전부 납부할 수 있나요?그리고 감면 못 받을 게 당연해 보이지만 혹시나 해서 한 가지 더 여쭙니다.부모님이 자경농민이셨어요 밭을 남동생이 이어받아(경영체 등록도 함) 지을 예정인데 상속인(취득인)은 누나입니다. 이때 밭 취득세 감면받을 수 있을까요?,2,"['우리나라 상속세는 \n상속액 전체에 대해 세금을 부과하고 \n상속받는 사람 누군가 한 사람이 납부하는 방식입니다.\n누가 내고, 그 안에서 상속자들이 서로 분담하는 방식이 됩니다.\n그러나 부동산의 취득세는 각자의 취득에 대해 개별로 납부합니다.\n상속세는 총액으로 나오고\n부동산 취득세는 각자 취득한 부분에 대해 냅니다.', '취득세를 누가 납부하든지 상관 없습니다.\n상속받는 사람 본인만 감면이 가능합니다.']"
83,부동산 청약 후 계약금 그리고 이런과정에 관해서 알수있,부동산 청약 후 계약금 그리고 이런과정에 관해서 알수있는 방법있을가요?청약해서 당첨후 경험이 없어서 말입니다.,1,"['부동산 청약 후 계약금 및 관련 절차에 대해 자세히 알고 싶으시다면, 다음과 같은 방법을 시도해 볼 수 있습니다:\n1. 공인중개사나 부동산 전문가와 상담: 부동산 전문가에게 상담을 받아보세요. 그들은 부동산 청약 절차와 관련된 전문적인 지식을 가지고 있으며, 계약금 및 기타 절차에 대해 자세히 설명해 줄 수 있습니다.\n2. 관련 도서나 온라인 자료 참고: 부동산 청약에 대한 자세한 정보를 담은 도서나 온라인 자료를 찾아보세요. 청약 절차, 계약금, 입주 절차 등을 설명하는 다양한 자료들이 있을 것입니다.\n3. 관련 기관 또는 건설사에 문의: 청약에 관심이 있는 부동산 관련 기관이나 건설사에 문의해 보세요. 그들은 청약 절차와 관련된 정보를 제공해 줄 수 있을 것입니다.\n4. 인터넷 커뮤니티나 카페 참여: 부동산 청약에 관심이 있는 사람들이 모여있는 인터넷 커뮤니티나 카페에 가입하여 정보를 공유해 보세요. 다른 사람들의 경험과 조언을 통해 청약 절차에 대해 더 많이 알 수 있을 것입니다.\n이러한 방법들을 통해 부동산 청약 후 계약금 및 관련 절차에 대해 자세히 알아볼 수 있을 것입니다.']"
84,월세계약 부동산의 연락두절(?),당일에 시간이 없어서 문자로 가계약만 하고 계약금을 보냈고이제 곧 입주일이라 계약서를 쓰려고 하는데부동산이랑 연락이 안됩니다.집주인 연락처도 모르는 상황이라 되게 난감하네요.만약 이대로 입주 당일까지 연락이 안되면 어떡하나요? ,2,"['월세계약 부동산의 연락두절(?)\n당일에 시간이 없어서 문자로 가계약만 하고 계약금을 보냈고\n이제 곧 입주일이라 계약서를 쓰려고 하는데\n부동산이랑 연락이 안됩니다.\n집주인 연락처도 모르는 상황이라 되게 난감하네요.\n만약 이대로 입주 당일까지 연락이 안되면 어떡하나요? \n질문해주셔서 답변드려봅니다\n부동산에 문의하여 상황 파악 후 조치 필요', '아래 질의응답을 참고하세요.\n전세계약 전세보증금 : 지식iN (naver.com)', '전세계약 전세보증금\n계약서를 쓰기 전이구여 이제 계약서를 쓰고 가려는아파트엔 세입자가 아직 살고있구여전세가7천 전세대출 이용없이 가지고있는 현금으로 잔금날 집주인분에게 한번에 이체해주려는데기존 세입자...\nkin.naver.com', '']"
85,부동산 및 유체동산 압류에 대해 문의합니다.,"건설기계임대업으로 임대료를 지불받지못하여 민사소송진행 이행권고결정까지만 받아놓은 상태라면채권압류및추심명령 말고 부동산압류(등기부상주소지가 채무자 소유일때) 혹은유체동산 압류를 채무자 법인등기부등본상 주소지로 압류하려면절차가 어떻게되는지 궁금하여 문의남깁니다. 일전에 유체동산 압류할때 집행문,위임장,사업자등록증 같은거 서류물어봐서 채무자관할 법원 집행관사무소로 직접가서 강제집행신청서인가??그거작성하고 돈납입하고 그렇게한후 일정잡히고 처리했던거같은데워낙오래되어 기억이 안나서요.이행권고결정문은 집행문이 따로없는거로 알고있는데 이행권고결정문 정본으로 첨부하면 되는걸까요?그리고 부동산압류시 꼭 가압류를 해야하는건가요??",3,"['안녕하세요.\n이행권고 결정문은 지급명령 결정문과 똑같이 따로 송달확정증명원,집행문 등 필요 없이 이행권고 결정문으로도 유체동산 압류 등이 가능합니다.\n이행권고결정 정본.채무자 법인 등기부 등본,유체동산 압류 신청서 등과 함께 채무자 법인 소재지 관할 법원 집행관실에 접수하시면 됩니다.\n질문자님처럼 집행권원을 가지고 계시고 채무자인 법인 소유의 부동산이 있는 경우 가압류나 임의경매가 아닌 부동산 강제경매를 하시면 됩니다.\n채무자에 대한  강제집행 압류에는 채무 불이행자 명부 등재(판결 확정 후 6개월 후 등재 가능),재산명시,재산조회,채권압류 및 추심명령(거래은행 계좌압류,급여,퇴직금,임차 보증금,보험,보유 주식 등),유체동산 압류,채무자 소유 부동산.자동차 경매 등 다양한 압류 법조치 진행이 가능하며,법정 지연이자 연12%와 소송 비용과 압류 비용 등 법적 소요비용도 채무자에게 청구할 수 있습니다.\n프로필 전화번호로 문의 주시면 자세히 상담해드리겠습니다.\n감사합니다.', '안녕하세요? 네이버 EXPERT 이광표 법무사입니다.\n이행권고결정문이 있기 때문에 부동산 경매를 바로 신청할 수 있습니다.\n그리고 유체동산 압류도 채무자 주소지 관할 집행관사무소에 바로 신청이 가능합니다.\n이행권고결정문 원본과 채무자 등기부등본 첨부하시면 됩니다.']"
86,부동산법률자문 받고싶은데 서초법무법인 추천해주세요,부동산으로 이런 저런 사기를 치는 사람들이 많아서비용이 들더라도 안전하게 거래하고싶어서부동산법률자문 받아보려는데 한번도 받아본 적이 없어서요.부동산전문가 계신 서초법무법인은 어디있나요?! 추천해주세요,2,"['안녕하세요. 서울지방변호사회 소속으로 지식iN 법률상담을 진행하고 있는 고영남 변호사입니다.\n부동산 계약을 체결할 당시 등기부등본, 토지대장, 건축물대장 등의 \n서면을 제대로 검토하여 계약에 임해야 합니다. \n만일 계약을 권유한 업체로부터 착오, 신의성실을 어긴 \n과장광고로 계약이 체결된 상태라면 이를 입증해 \n부동산 계약 파기 및 계약 상태가 중도금을 지급한 상태라고 하여도 \n계약금을 회수하고 민, 형사 대응을 할 수 있습니다. \n현재 계약서의 내용이 미심쩍은 상황에 있다면 \n변호사에게 자문하여 부동산 계약에 오점이 있는지 확인하셔야 하겠습니다.', '안녕하세요. 로시컴-네이버 지식iN 상담변호사 유성권 입니다.\n대전변호사 유성권 변호사입니다. \n부동산관련해서 법률자문 가능합니다. \n서울관할 사건도 진행가능하며, 전화로도 법률자문이 가능합니다. \n유사사건 진행경험 존재하며 전국법원사건 진행이 가능합니다\n전화로도 법률상담이 가능합니다', '대전형사이혼전문변호사법률사무소변호사\n대전변호사 법률사무소 가연의 유성권 변호사 사시52회입니다 법률문제 전화상담 01075868110\npf.kakao.com', '00:00\n00:00\n\n접기/펴기\n부동산법률자문', '']"
87,부동산 명도 문제,"추운 날씨에도 수고 많으십니다.부동산 중개소에서 정식 계약을 했고 계약 기간이 만료가 되어서 보증금을 임차인에게 주기 전에 임차한 곳을 점검 중 여러가지 파손이 있어서 원상복구를 요구했으나 임차인 아버지라는 분이 와서 불응하고 무조건 보증금을 돌려줄 것을 요구하네요.  계약 할 당시에는 반려견을 키우겠다는 이야기가 없었는데 임차 기간 중간에  개를 키웠고 대부분의 시설물 파손이 개로 인한 사고임을 직감할 수 있었습니다.그리고 임차인 아버지는 보증금을 아직 받지 못하고 해서 명도 이전이 어렵고 임대인 본인에게 집에서 당장 나가 달라고 했고 안 나가면 경찰을 부르겠다고 하네요. 정말 어처구니 없어 보입니다. 이럴 때는 어떻게 해야 합니까? 파손된 비용, 그리고 월세 집을 못 놓은 월세까지 받을 수 있습니까?   아니면 보증금을 일단 돌려주고 파손된 것을 수리한 후 비용을 청구해야 합니까? 만약 보증금 주고 나중에 비용을 청구하게 되면 살고 있었던 임차인은 나이가 어리므로 지불할 능력이 없어 보입니다.어떻게 해야 합니까? 상대방은 법을 잘 아는 것처럼 큰 소리 치고 있습니다. 너무 불안해서 잠도 오지 않습니다. 부동산 임대계약 조건은 보증금 2,000만원 월세32만원 입니다. 파손된 시설물은 도배,장판,몰딩,TV,가벽 입니다. 계약서 특약에도 시설물 파손시 원상복구함. 이라고 되어 있습니다. ",2,"['부동산 명도 문제\n추운 날씨에도 수고 많으십니다.\n부동산 중개소에서 정식 계약을 했고 계약 기간이 만료가 되어서 보증금을 임차인에게 주기 전에 임차한 곳을 점검 중 여러가지 파손이 있어서 원상복구를 요구했으나 임차인 아버지라는 분이 와서 불응하고 무조건 보증금을 돌려줄 것을 요구하네요. 계약 할 당시에는 반려견을 키우겠다는 이야기가 없었는데 임차 기간 중간에 개를 키웠고 대부분의 시설물 파손이 개로 인한 사고임을 직감할 수 있었습니다.\n그리고 임차인 아버지는 보증금을 아직 받지 못하고 해서 명도 이전이 어렵고 임대인 본인에게 집에서 당장 나가 달라고 했고 안 나가면 경찰을 부르겠다고 하네요. 정말 어처구니 없어 보입니다. \n이럴 때는 어떻게 해야 합니까? 파손된 비용, 그리고 월세 집을 못 놓은 월세까지 받을 수 있습니까? \n아니면 보증금을 일단 돌려주고 파손된 것을 수리한 후 비용을 청구해야 합니까? 만약 보증금 주고 나중에 비용을 청구하게 되면 살고 있었던 임차인은 나이가 어리므로 지불할 능력이 없어 보입니다.\n어떻게 해야 합니까? 상대방은 법을 잘 아는 것처럼 큰 소리 치고 있습니다. 너무 불안해서 잠도 오지 않습니다. 부동산 임대계약 조건은 보증금 2,000만원 월세32만원 입니다. 파손된 시설물은 도배,장판,몰딩,TV,가벽 입니다. 계약서 특약에도 시설물 파손시 원상복구함. 이라고 되어 있습니다. \n질문해주셔서 답변드려봅니다\n법률 전문가와 상담하세요.', '보증금에서 수리비용을 뺀 뒤 돌려주면 됩니다']"
88,부동산 권원보험의 단점??,"부동산 권원보험의 단점이 궁금합니다.찾아봐도 단점이 명확히 나와있지 않아서요.단점이 없는것인지.. (비용적인 부분 제외)장점은 당연히 등기부등본 등 서류 위조에 대해 보상받는다는 점, 무권리자 거래, 이중매매 등매수인이 예상하기 힘든 부분을 보상해 준다는 것이겠지요.단점은 무엇이 있을까요?비용도 비싸지 않아서 큰 단점은 아니고권원보험을 들면 은행에서 주택담보대출을 해주지 않는다는 말도 있던데 사실인가요?또한 다른 단점은 없는 것인가요?",1,"['부동산 권원보험의 단점은 몇 가지 있을 수 있어요. 첫째로, 보험가입 시 예상치 못한 상황에 대비하기 위해 상당한 보험료를 지불해야 한다는 점이 단점이 될 수 있어요. 또한, 권원보험은 보상을 받기 위해서는 일정한 절차와 조건을 충족해야 하고, 보험사의 판단에 따라 보상 여부가 결정되기 때문에 보상 신청 과정이 번거로울 수 있어요. 또한, 보험금 지급까지의 시간이 소요될 수도 있어서 급한 상황에서는 불편할 수 있어요.\n또한, 권원보험을 가입하면 은행에서 주택담보대출을 받을 수 없는 경우가 있을 수도 있어요. 은행은 보험 가입으로 인해 담보 가치가 변동될 가능성을 우려하여 대출을 제한할 수도 있어요. 이는 은행의 정책에 따라 다를 수 있으니, 상황에 따라 다른 결과가 있을 수도 있어요.\n이러한 단점들이 있지만, 권원보험은 여러 악영향을 줄일 수 있는 중요한 장점들을 가지고 있어요. 따라서 개인의 상황과 욕구에 맞게 잘 고려해 보셔야 해요.']"
89,부동산 고발...,"부동산 고발 할려면 어떻게 하나요?고작6개월정도 살앗는데 청소비를 15만원 달라고 하네요, 고발방법좀 알려주세요",3,"['어떤 계약관계가 되었는지 모르겠네요', '부동산 고발 할려면 어떻게 하나요?\n고작6개월정도 살앗는데 청소비를 15만원 달라고 하네요, 고발방법좀 알려주세요\n질문해주셔서 답변드려봅니다\n변호사 상담. 법무사 문의.', '민사문제는 고발을 받아주는 데가 없습니다.\n억울하다면  법원에 소송을 제기하여야 합니다.']"
90,부동산 중개료 관련 질문,"안녕하세요.전세계약 만료 전에 중도 이사가려고 합니다.집 주인 분이 새로 들어올 사람이 구해지면중개 수수료 부담을 제가 해야한 다고 하시는 데요.저는 lh 전세임대라서 들어올 때 중개료 따로 안냈습니다.그리고 독립해서 사는 첫 집이 었어서 잘 몰라요 ㅠ질문 1.새로 오시는 분도 저처럼 lh 대출로 들어오면중개료를 lh에서 부담하니까 제가 중개료 줄 필요가없나요?질문2.계약기간이 8개월? 정도 남았습니다.계약 만료로 이사 가게 되면새로 들어올 다음 사람의 중개료 부담을 제가 안하고걸로 아는데요.어차피 이사 들어올 사람이 부담해야하는 거면집주인이 내는 것도 아닌데.왜 중도에 나가 더라도 제가 부담을 해야하는 거에요?질문3.중개 수수료를 임대인, 임차인둘 다 따로 부동산에 지불하는 건가요??",2,"['질문에 답변드리겟습니다.\n질문 1.\n새로 오시는 분도 저처럼 lh 대출로 들어오면\n중개료를 lh에서 부담하니까 제가 중개료 줄 필요가\n없나요?\n==> 네 그렇지 않습니다. lh대출을 받고 입주하는 임차인은 중개보수를 대부분 lh에서 부담하지만 질문자님께서는 부담해야 합니다.\n질문2.\n계약기간이 8개월? 정도 남았습니다.\n계약 만료로 이사 가게 되면\n새로 들어올 다음 사람의 중개료 부담을 제가 안하고\n걸로 아는데요.\n어차피 이사 들어올 사람이 부담해야하는 거면\n집주인이 내는 것도 아닌데.\n왜 중도에 나가 더라도 제가 부담을 해야하는 거에요?\n==> 손해배상 차원에서 중개보수 정도를 요구하는 것입니다.\n질문3.\n중개 수수료를 임대인, 임차인\n둘 다 따로 부동산에 지불하는 건가요??\n==> 네 그렇습니다', '질문 1\n새로 오시는 분도 LH 전세임대라면, LH에서 중개료를 부담합니다. 따라서, 중개료를 부담할 필요는 없습니다.\n질문 2\n계약 만료로 이사할 경우, 중도 이사와는 달리, 임차인이 중개료를 부담하지 않습니다. 따라서, 계약 만료 전 8개월 이내에 이사하실 경우, 중개료를 부담하지 않아도 됩니다.\n질문 3\n중개 수수료는 원칙적으로 임대인과 임차인이 5:5로 부담합니다. 다만, 계약서에 중개 수수료의 부담 비율을 달리 정할 수 있습니다. 따라서, 계약서를 확인하시면 됩니다.\n따라서, 귀하의 경우, 새로 오시는 분도 LH 전세임대이며, 계약 만료 전 8개월 이내에 이사하신다면, 중개료를 부담하지 않아도 됩니다.\n다만, 계약서에 중개 수수료의 부담 비율을 임대인과 임차인이 5:5로 정하였다면, 중개료를 50% 부담하셔야 합니다.\n집주인이 중도 이사 중개료를 요구하신다면, 위와 같은 내용을 설명하시고, 계약서를 확인하시라고 말씀드리시기 바랍니다.\n추가로 무직자 대출 가능한 상품들을 소개해드리니 아래 링크 확인해보세요\nhttps://naver.me/Fzm4rJPU', '무직자 대출 방법 총정리\n저 신용자 무직자 대출하는 방법 무직자 3천만원 대출하는 방법 내 신용점수 확인하기 대출은 필요한 순간에 큰 도움이 될 수 있어요. 하지만 대출을 받기 위해서는 신용등급이 높아야 하는데 신용등급이 낮은 경우 대출을 받기가 어려울 수 있어요. 하지만 신용등급이 낮아도 대출을 받을 수 있는 방법이 있어요. 바로 무직자 대출입니다. 무직자 대출은 직업이 없는 분들에게도 대출을 제공하는 상품이죠. 무직자 대출은 신용등급이 낮더라도 대출을 받을 수 있는 경우가 많아, 급전이 필요한 분들에게 유용한 상품입니다. 최저 1년부터 최대 15년까지 ...\nnaver.me', '']"
